,_batch,cell_type,sub_cell_type,sp,individual,status,tissue,repeat,sample,Major cell type,Minor subset,used_in_NSCLC_immune,x_NSCLC_immune,y_NSCLC_immune
bcAGGC;h1tl_1,h1tl_1,MoMacDC,MonoDC,human,h1,tumor,lung,1,p1t1,tMoMacDC,tMonoDC,True,1085.2157349145368,-999.3933083466984
bcGDSJ;h1tl_1,h1tl_1,MoMacDC,DC2,human,h1,tumor,lung,1,p1t1,tMoMacDC,tDC2,True,733.1891994122618,-964.8594185257192
bcEZQB;h1tl_1,h1tl_1,MoMacDC,MonoDC,human,h1,tumor,lung,1,p1t1,tMoMacDC,tMonoDC,True,1237.7588942701311,-1108.4305209441848
bcBUMT;h1tl_1,h1tl_1,MoMacDC,MonoDC,human,h1,tumor,lung,1,p1t1,tMoMacDC,tMonoDC,True,1282.00605164601,-1144.7593333596385
bcEPPT;h1tl_1,h1tl_1,MoMacDC,MonoDC,human,h1,tumor,lung,1,p1t1,tMoMacDC,tMonoDC,True,1217.545804561579,-1037.1451204881084
bcCBCH;h1tl_1,h1tl_1,MoMacDC,MonoDC,human,h1,tumor,lung,1,p1t1,tMoMacDC,tMonoDC,True,1190.461446376686,-1074.1859126253728
bcDRQX;h1tl_1,h1tl_1,pDC,pDC,human,h1,tumor,lung,1,p1t1,tpDC,tpDC,True,445.48605645073417,-836.8888203000336
bcFPXB;h1tl_1,h1tl_1,pDC,pDC,human,h1,tumor,lung,1,p1t1,tpDC,tpDC,True,429.2322855449698,-861.501350310287
bcHVVV;h1tl_1,h1tl_1,pDC,pDC,human,h1,tumor,lung,1,p1t1,tpDC,tpDC,True,433.98932278373366,-863.6651086695471
bcGJVN;h1tl_1,h1tl_1,pDC,pDC,human,h1,tumor,lung,1,p1t1,tpDC,tpDC,True,436.9180325849785,-873.6811304164431
bcEZOJ;h1tl_1,h1tl_1,MoMacDC,MonoDC,human,h1,tumor,lung,1,p1t1,tMoMacDC,tMonoDC,True,1156.379520109911,-1154.2524780827514
bcFSSY;h1tl_1,h1tl_1,MoMacDC,DC3,human,h1,tumor,lung,1,p1t1,tMoMacDC,tDC3,True,659.0430759207711,-679.6334199878262
bcDJZK;h1tl_1,h1tl_1,MoMacDC,DC2,human,h1,tumor,lung,1,p1t1,tMoMacDC,tDC2,True,700.8473044839229,-978.9370179026728
bcEGAC;h1tl_1,h1tl_1,MoMacDC,MonoDC,human,h1,tumor,lung,1,p1t1,tMoMacDC,tMonoDC,True,1068.9116069911051,-1000.556163006422
