,_batch,cell_type,sub_cell_type,sp,individual,status,tissue,repeat,sample,Major cell type,Minor subset,x,y
bc0002;m1tl_1,m1tl_1,MoMacDC,DC1,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC1,1068.80896839,-37.9668513344
bc0003;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,791.206112792,-51.7566951196
bc0004;m1tl_1,m1tl_1,MoMacDC,DC1,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC1,1068.68885105,-17.459386185899998
bc0005;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,805.51653844,-52.7067087115
bc0007;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,688.3331291630001,-49.584085691400006
bc0011;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,773.818119751,-48.5156981519
bc0018;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,696.944145571,-72.84156121560001
bc0022;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,720.488646741,-53.6066146257
bc0024;m1tl_1,m1tl_1,MoMacDC,DC1,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC1,1047.53371507,-21.9990401962
bc0025;m1tl_1,m1tl_1,MoMacDC,DC1,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC1,1053.75183487,-18.291975324000003
bc0030;m1tl_1,m1tl_1,MoMacDC,DC1,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC1,1045.20577638,-32.1496342715
bc0035;m1tl_1,m1tl_1,MoMacDC,DC1,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC1,1058.15821432,-10.5501754113
bc0047;m1tl_1,m1tl_1,MoMacDC,DC2,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC2,1064.05147716,-40.8618877136
bc0050;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,788.1946312010001,-47.0097051755
bc0053;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,667.231779413,-50.998510054700006
bc0062;m1tl_1,m1tl_1,MoMacDC,DC1,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC1,1067.37056448,-23.5012043048
bc0067;m1tl_1,m1tl_1,MoMacDC,DC2,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC2,1063.61856376,-33.1233717899
bc0072;m1tl_1,m1tl_1,MoMacDC,DC2,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC2,1067.24254745,-48.48855989810001
bc0076;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,683.209965885,-50.5914591764
bc0080;m1tl_1,m1tl_1,MoMacDC,DC2,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC2,965.354018305,-52.5322286004
bc0089;m1tl_1,m1tl_1,MoMacDC,DC2,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC2,1051.92941352,-60.0372056186
bc0093;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,782.644670903,-54.0233635124
bc0094;m1tl_1,m1tl_1,pDC,pDC,mouse,m1,tumor,lung,1,t_1_1,pDC,pDC,1469.82662102,125.029355892
bc0102;m1tl_1,m1tl_1,MoMacDC,DC2,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC2,1071.83450386,-37.6505770233
bc0103;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,700.87206009,-65.2890006115
bc0109;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,697.254990785,-54.5561160831
bc0116;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,716.125229219,-59.7469201136
bc0118;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,726.362201851,-56.8256372545
bc0127;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,689.787584292,-53.5747327007
bc0132;m1tl_1,m1tl_1,MoMacDC,DC3,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC3,717.548040802,-73.6506937132
bc0134;m1tl_1,m1tl_1,MoMacDC,DC2,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,DC2,1070.77483582,-46.2665119815
bc0135;m1tl_1,m1tl_1,MoMacDC,MonoDC,mouse,m1,tumor,lung,1,t_1_1,MoMacDC,MonoDC,1052.47823074,-5.26586350924
